op,phase,axis,axis_value,latency_us,TFLOPS,shape,backend
KV_b absorb BMM H=64,decode,decode_B,256,53.5,40.14,"[256,64,128]x[64,128,512]",torch.bmm bf16
MoE Gate (fused),decode,decode_B,256,52.79,,"[256,384] topk=8",sgl_kernel.kimi_k2_moe_fused_gate
Fused add+RMSNorm,decode,decode_B,256,50.84,,"[256,7168]",sgl_kernel.fused_add_rmsnorm
MoE GateUp grouped (contig),prefill,tokens_per_expert,16,587.77,306.9,E=384 m_sum=49152 K=7168 N=256 (uniform=16),deep_gemm contiguous (non-uniform)
MoE GateUp grouped (contig),prefill,tokens_per_expert,32,589.66,305.92,E=384 m_sum=49152 K=7168 N=256 (uniform=32),deep_gemm contiguous (non-uniform)
MoE GateUp grouped (contig),prefill,tokens_per_expert,64,586.92,307.35,E=384 m_sum=49152 K=7168 N=256 (uniform=64),deep_gemm contiguous (non-uniform)
MoE GateUp grouped (contig),prefill,tokens_per_expert,128,587.08,307.27,E=384 m_sum=49152 K=7168 N=256 (uniform=128),deep_gemm contiguous (non-uniform)
MoE GateUp grouped (contig),prefill,tokens_per_expert,256,661.08,545.74,E=384 m_sum=98304 K=7168 N=256 (uniform=256),deep_gemm contiguous (non-uniform)
MoE GateUp grouped (contig),prefill,tokens_per_expert,341,876.49,617.42,E=384 m_sum=147456 K=7168 N=256 (uniform=341),deep_gemm contiguous (non-uniform)
MoE GateUp grouped (contig),prefill,tokens_per_expert,512,1071.89,673.16,E=384 m_sum=196608 K=7168 N=256 (uniform=512),deep_gemm contiguous (non-uniform)
MoE GateUp grouped (contig),prefill,tokens_per_expert,1024,1807.35,798.47,E=384 m_sum=393216 K=7168 N=256 (uniform=1024),deep_gemm contiguous (non-uniform)
MoE GateUp grouped (contig),prefill,tokens_per_expert,routed_M4096,588.12,306.72,E=384 m_sum=49152 K=7168 N=256 (routed M=4096 min55/max114),deep_gemm contiguous (non-uniform)
MoE GateUp grouped (contig),prefill,tokens_per_expert,routed_M16384,874.94,620.13,E=384 m_sum=147840 K=7168 N=256 (routed M=16384 min288/max400),deep_gemm contiguous (non-uniform)
MoE GateUp masked,decode,masked_m,1,73.23,3.21,"8x[1,7168]x[7168,2048] (masked, padded M=128)",deep_gemm.fp8_m_grouped_gemm_nt_masked
MoE GateUp masked,decode,masked_m,2,73.24,6.41,"8x[2,7168]x[7168,2048] (masked, padded M=128)",deep_gemm.fp8_m_grouped_gemm_nt_masked
MoE GateUp masked,decode,masked_m,4,73.3,12.82,"8x[4,7168]x[7168,2048] (masked, padded M=128)",deep_gemm.fp8_m_grouped_gemm_nt_masked
MoE GateUp masked,decode,masked_m,8,73.26,25.65,"8x[8,7168]x[7168,2048] (masked, padded M=128)",deep_gemm.fp8_m_grouped_gemm_nt_masked
MoE GateUp masked,decode,masked_m,16,73.02,51.47,"8x[16,7168]x[7168,2048] (masked, padded M=128)",deep_gemm.fp8_m_grouped_gemm_nt_masked
MoE GateUp masked,decode,masked_m,32,73.64,102.07,"8x[32,7168]x[7168,2048] (masked, padded M=128)",deep_gemm.fp8_m_grouped_gemm_nt_masked
MoE GateUp masked,decode,masked_m,64,73.16,205.48,"8x[64,7168]x[7168,2048] (masked, padded M=128)",deep_gemm.fp8_m_grouped_gemm_nt_masked
MoE GateUp masked,decode,masked_m,128,73.12,411.15,"8x[128,7168]x[7168,2048] (masked, padded M=128)",deep_gemm.fp8_m_grouped_gemm_nt_masked
MoE GateUp masked,decode,masked_m,skew8,73.34,102.09,E=8 masked_m=skew8 K=7168 N=2048,deep_gemm masked (non-uniform)
