模型,层类型,算子名称,执行阶段,数据精度,测量类型,sweep轴,sweep取值,算子规模/shape,latency_us,TFLOPS,sglang入口,底层Kernel,实现类型,B200实测后端,备选实现,备注/发现
Kimi-K2.7,mla,MLA Attention core,Prefill,BF16/FP8 KV,sweep,prefill_seqlen,4096,"Q/K:[4096,64,192] V:[4096,64,128] seqlen=4096",2254.2,152.43,dsa_backend / flashinfer,flashinfer trtllm ragged / flash_mla,CUDA,"flashinfer.single_prefill_with_kv_cache (ragged, causal)",,sweep op=MLA attention prefill
Kimi-K2.7,mla,MLA Attention core,Prefill,BF16/FP8 KV,sweep,prefill_seqlen,8192,"Q/K:[8192,64,192] V:[8192,64,128] seqlen=8192",8448.71,162.67,dsa_backend / flashinfer,flashinfer trtllm ragged / flash_mla,CUDA,"flashinfer.single_prefill_with_kv_cache (ragged, causal)",,sweep op=MLA attention prefill
Kimi-K2.7,mla,MLA Attention core,Prefill,BF16/FP8 KV,sweep,prefill_seqlen,16384,"Q/K:[16384,64,192] V:[16384,64,128] seqlen=16384",31559.71,174.2,dsa_backend / flashinfer,flashinfer trtllm ragged / flash_mla,CUDA,"flashinfer.single_prefill_with_kv_cache (ragged, causal)",,sweep op=MLA attention prefill
Kimi-K2.7,mla,MLA Attention decode,Decode,BF16,reference,,ref,"Q[16,64,320] sparse/dense",71.33,127.96,forward_mla,flash_mla_with_kvcache / flashinfer,CUDA,flashinfer trtllm_batch_decode_mla (sm100),备选: FA3 CUDA / TileLang；非 Triton 主路径,"B200 补测 seq=4096; seq=8192: 146.35us/124.73 TFLOPS; flash_mla dense decode 仅 SM90a || sweep decode_kvlen[1024..32768]: 65–334us (见kimi_k27_sweeps.csv) | sweep decode_B[1..256]: 60–615us (见kimi_k27_sweeps.csv) || 发现: 随KV长度~线性; batch B≤8平坦(launch-bound), B>8后~线性(256=615us)"
Kimi-K2.7,mla,MLA Attention decode,Decode,BF16,sweep,decode_kvlen,1024,"Q:[16,1,64,576] KV:paged(1024,576) v=512",64.54,35.35,forward_mla,flash_mla_with_kvcache / flashinfer,CUDA,flashinfer.trtllm_batch_decode_with_kv_cache_mla (sm100),,sweep op=MLA attention decode
Kimi-K2.7,mla,MLA Attention decode,Decode,BF16,sweep,decode_kvlen,2048,"Q:[16,1,64,576] KV:paged(2048,576) v=512",72.36,63.07,forward_mla,flash_mla_with_kvcache / flashinfer,CUDA,flashinfer.trtllm_batch_decode_with_kv_cache_mla (sm100),,sweep op=MLA attention decode
Kimi-K2.7,mla,MLA Attention decode,Decode,BF16,sweep,decode_kvlen,4096,"Q:[16,1,64,576] KV:paged(4096,576) v=512",71.28,128.04,forward_mla,flash_mla_with_kvcache / flashinfer,CUDA,flashinfer.trtllm_batch_decode_with_kv_cache_mla (sm100),,sweep op=MLA attention decode
Kimi-K2.7,mla,MLA Attention decode,Decode,BF16,sweep,decode_kvlen,8192,"Q:[16,1,64,576] KV:paged(8192,576) v=512",146.44,124.65,forward_mla,flash_mla_with_kvcache / flashinfer,CUDA,flashinfer.trtllm_batch_decode_with_kv_cache_mla (sm100),,sweep op=MLA attention decode
Kimi-K2.7,mla,MLA Attention decode,Decode,BF16,sweep,decode_kvlen,16384,"Q:[16,1,64,576] KV:paged(16384,576) v=512",172.69,211.4,forward_mla,flash_mla_with_kvcache / flashinfer,CUDA,flashinfer.trtllm_batch_decode_with_kv_cache_mla (sm100),,sweep op=MLA attention decode
Kimi-K2.7,mla,MLA Attention decode,Decode,BF16,sweep,decode_kvlen,32768,"Q:[16,1,64,576] KV:paged(32768,576) v=512",334.04,218.58,forward_mla,flash_mla_with_kvcache / flashinfer,CUDA,flashinfer.trtllm_batch_decode_with_kv_cache_mla (sm100),,sweep op=MLA attention decode
Kimi-K2.7,mla,MLA Attention decode,Decode,BF16,sweep,decode_B,1,"Q:[1,1,64,576] KV:paged(4096,576) v=512",59.85,9.53,forward_mla,flash_mla_with_kvcache / flashinfer,CUDA,flashinfer.trtllm_batch_decode_with_kv_cache_mla (sm100),,sweep op=MLA attention decode
Kimi-K2.7,mla,MLA Attention decode,Decode,BF16,sweep,decode_B,2,"Q:[2,1,64,576] KV:paged(4096,576) v=512",60.9,18.73,forward_mla,flash_mla_with_kvcache / flashinfer,CUDA,flashinfer.trtllm_batch_decode_with_kv_cache_mla (sm100),,sweep op=MLA attention decode
